,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhodes Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,state,year,no_of_crimes,no_of_cities,no_of_crime_solved,rate_of_crime_solved,no_of_crime_unsolved,rate_of_crime_unsolved,avg_perp_age,min_avg_age,max_perp_age,mean_vic_age,min_vic_age,max_vic_age,perp_male_count,perp_male_rate,perp_female_count,perp_female_rate,perp_unknown_gender_count,perp_unknow_gender_rate,vic_male_count,vic_male_count.1,vic_female_count,vic_female_rate,vic_unknown_gender_count,vic_unknown_gender_rate,mean_perp_count,min_perp_count,max_perp_count,mean_vic_count,min_vic_count,max_vic_count,January_count,January_rate,March_count,March_rate,April_count,April_rate,May_count,May_rate,June_count,June_rate,July_count,July_rate,August_count,August_rate,December_count,December_rate,November_count,November_rate,February_count,February_rate,October_count,October_rate,September_count,September_rate,Murder or Manslaughter_count,Murder or Manslaughter_rate,Manslaughter by Negligence_count,Manslaughter by Negligence_rate,FBI_count,FBI_rate,FOIA_count,FOIA_rate,Municipal Police_count,Municipal Police_rate,County Police_count,County Police_rate,State Police_count,State Police_rate,Sheriff_count,Sheriff_rate,Special Police_count,Special Police_rate,Regional Police_count,Regional Police_rate,Tribal Police_count,Tribal Police_rate,Native American/Alaska Native_vic_count,Native American/Alaska Native_vic_rate,White_vic_count,White_vic_rate,Black_vic_count,Black_vic_rate,Unknown_race_vic_count,Unknown_race_vic_rate,Asian/Pacific Islander_vic_count,Asian/Pacific Islander_vic_rate,Unknown_ethic_vic_count,Unknown_ethic_vic_rate,Not Hispanic_vic_count,Not Hispanic_vic_rate,Hispanic_vic_count,Hispanic_vic_rate,Native American/Alaska Native_perp_count,Native American/Alaska Native_perp_rate,White_perp_count,White_perp_rate,Unknown_race_perp_count,Unknown_race_perp_rate,Black_perp_count,Black_perp_rate,Asian/Pacific Islander_perp_count,Asian/Pacific Islander_perp_rate,Unknown_ethic_perp_count,Unknown_ethic_perp_rate,Not Hispanic_perp_count,Not Hispanic_perp_rate,Hispanic_perp_count,Hispanic_perp_rate,friend_count,friend_rate,stranger_count,stranger_rate,spouse_count,spouse_rate,dating_count,dating_rate,sibling_count,sibling_rate,child_count,child_rate,parent_count,parent_rate,other_family_count,other_family_rate,Blunt Object_count,Blunt Object_rate,Strangulation_count,Strangulation_rate,Unknown_count,Unknown_rate,Rifle_count,Rifle_rate,Knife_count,Knife_rate,Firearm_count,Firearm_rate,Shotgun_count,Shotgun_rate,Fall_count,Fall_rate,Handgun_count,Handgun_rate,Drowning_count,Drowning_rate,Suffocation_count,Suffocation_rate,Explosives_count,Explosives_rate,Fire_count,Fire_rate,Drugs_count,Drugs_rate,Gun_count,Gun_rate,Poison_count,Poison_rate,Crime Rate,Top_10,Next_Year_Top_10,Next_Year_Crime_Rate
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alaska,1980.0,47.0,6.0,37.0,0.7872340425531915,10.0,0.2127659574468085,25.78723404255319,0.0,61.0,31.25531914893617,8.0,99.0,33.0,0.7021276595744681,4.0,0.0851063829787234,10.0,0.2127659574468085,33.0,0.7021276595744681,14.0,0.2978723404255319,0.0,0.0,0.0851063829787234,0.0,1.0,0.1276595744680851,0.0,2.0,1.0,0.02127659574468085,2.0,0.0425531914893617,3.0,0.06382978723404255,3.0,0.06382978723404255,6.0,0.1276595744680851,7.0,0.14893617021276595,8.0,0.1702127659574468,3.0,0.06382978723404255,5.0,0.10638297872340426,5.0,0.10638297872340426,4.0,0.0851063829787234,0.0,0.0,40.0,0.851063829787234,7.0,0.14893617021276595,47.0,1.0,0.0,0.0,21.0,0.44680851063829785,5.0,0.10638297872340426,21.0,0.44680851063829785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.40425531914893614,17.0,0.3617021276595745,3.0,0.06382978723404255,7.0,0.14893617021276595,1.0,0.02127659574468085,46.0,0.9787234042553192,1.0,0.02127659574468085,0.0,0.0,13.0,0.2765957446808511,13.0,0.2765957446808511,17.0,0.3617021276595745,3.0,0.06382978723404255,1.0,0.02127659574468085,46.0,0.9787234042553192,1.0,0.02127659574468085,0.0,0.0,13.0,0.2765957446808511,16.0,0.3404255319148936,8.0,0.1702127659574468,1.0,0.02127659574468085,5.0,0.10638297872340426,3.0,0.06382978723404255,0.0,0.0,1.0,0.02127659574468085,4.0,0.0851063829787234,2.0,0.0425531914893617,5.0,0.10638297872340426,15.0,0.3191489361702128,5.0,0.10638297872340426,4.0,0.0851063829787234,2.0,0.0425531914893617,1.0,0.02127659574468085,8.0,0.1702127659574468,1.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.595919223320132,1,1.0,16.48780977368689
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alaska,1981.0,69.0,8.0,62.0,0.8985507246376812,7.0,0.10144927536231883,26.02898550724637,0.0,57.0,29.94202898550725,0.0,71.0,55.0,0.7971014492753623,7.0,0.10144927536231883,7.0,0.10144927536231883,44.0,0.6376811594202898,25.0,0.3623188405797101,0.0,0.0,0.11594202898550725,0.0,2.0,0.2608695652173913,0.0,2.0,6.0,0.08695652173913042,7.0,0.10144927536231883,1.0,0.014492753623188406,14.0,0.2028985507246377,2.0,0.028985507246376805,5.0,0.07246376811594203,6.0,0.08695652173913042,10.0,0.14492753623188406,6.0,0.08695652173913042,3.0,0.043478260869565216,5.0,0.07246376811594203,4.0,0.05797101449275361,58.0,0.8405797101449275,11.0,0.15942028985507245,69.0,1.0,0.0,0.0,30.0,0.43478260869565216,0.0,0.0,39.0,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.3623188405797101,40.0,0.5797101449275363,4.0,0.05797101449275361,0.0,0.0,0.0,0.0,67.0,0.9710144927536232,2.0,0.028985507246376805,0.0,0.0,25.0,0.3623188405797101,34.0,0.4927536231884058,7.0,0.10144927536231883,3.0,0.043478260869565216,0.0,0.0,67.0,0.9710144927536232,2.0,0.028985507246376805,0.0,0.0,24.0,0.3478260869565217,19.0,0.2753623188405797,7.0,0.10144927536231883,1.0,0.014492753623188406,7.0,0.10144927536231883,6.0,0.08695652173913042,4.0,0.05797101449275361,1.0,0.014492753623188406,1.0,0.014492753623188406,2.0,0.028985507246376805,2.0,0.028985507246376805,15.0,0.21739130434782608,7.0,0.10144927536231883,1.0,0.014492753623188406,10.0,0.14492753623188406,0.0,0.0,27.0,0.39130434782608703,2.0,0.028985507246376805,1.0,0.014492753623188406,0.0,0.0,1.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,16.48780977368689,1,1.0,16.68127204708122
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alaska,1982.0,75.0,10.0,47.0,0.6266666666666667,28.0,0.37333333333333335,17.64,0.0,61.0,28.8,0.0,85.0,42.0,0.56,5.0,0.06666666666666668,28.0,0.37333333333333335,52.0,0.6933333333333334,23.0,0.30666666666666664,0.0,0.0,0.2,0.0,2.0,1.0133333333333334,0.0,7.0,3.0,0.04,5.0,0.06666666666666668,9.0,0.12,9.0,0.12,7.0,0.09333333333333334,1.0,0.013333333333333334,6.0,0.08,8.0,0.10666666666666667,12.0,0.16,9.0,0.12,1.0,0.013333333333333334,5.0,0.06666666666666668,73.0,0.9733333333333334,2.0,0.02666666666666667,75.0,1.0,0.0,0.0,34.0,0.4533333333333333,4.0,0.05333333333333334,37.0,0.4933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.3333333333333333,45.0,0.6,1.0,0.013333333333333334,2.0,0.02666666666666667,2.0,0.02666666666666667,70.0,0.9333333333333332,5.0,0.06666666666666668,0.0,0.0,17.0,0.22666666666666666,27.0,0.36,29.0,0.38666666666666666,0.0,0.0,2.0,0.02666666666666667,74.0,0.9866666666666668,1.0,0.013333333333333334,0.0,0.0,16.0,0.21333333333333332,44.0,0.5866666666666667,4.0,0.05333333333333334,1.0,0.013333333333333334,4.0,0.05333333333333334,2.0,0.02666666666666667,1.0,0.013333333333333334,3.0,0.04,7.0,0.09333333333333334,3.0,0.04,4.0,0.05333333333333334,11.0,0.14666666666666667,9.0,0.12,2.0,0.02666666666666667,2.0,0.02666666666666667,0.0,0.0,36.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,16.68127204708122,1,1.0,15.150987782980527
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alaska,1983.0,74.0,8.0,63.0,0.8513513513513513,11.0,0.14864864864864866,26.216216216216218,0.0,57.0,32.2027027027027,0.0,72.0,60.0,0.8108108108108109,3.0,0.040540540540540536,11.0,0.14864864864864866,49.0,0.6621621621621622,25.0,0.33783783783783783,0.0,0.0,0.08108108108108109,0.0,2.0,0.5675675675675675,0.0,5.0,5.0,0.06756756756756757,15.0,0.20270270270270271,6.0,0.08108108108108109,5.0,0.06756756756756757,5.0,0.06756756756756757,5.0,0.06756756756756757,5.0,0.06756756756756757,6.0,0.08108108108108109,6.0,0.08108108108108109,3.0,0.040540540540540536,5.0,0.06756756756756757,8.0,0.10810810810810813,68.0,0.9189189189189191,6.0,0.08108108108108109,74.0,1.0,0.0,0.0,30.0,0.40540540540540543,4.0,0.054054054054054064,40.0,0.5405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.35135135135135137,40.0,0.5405405405405406,3.0,0.040540540540540536,2.0,0.027027027027027032,3.0,0.040540540540540536,74.0,1.0,0.0,0.0,0.0,0.0,25.0,0.33783783783783783,32.0,0.4324324324324325,12.0,0.16216216216216214,4.0,0.054054054054054064,1.0,0.013513513513513514,74.0,1.0,0.0,0.0,0.0,0.0,31.0,0.4189189189189189,23.0,0.3108108108108108,4.0,0.054054054054054064,4.0,0.054054054054054064,3.0,0.040540540540540536,1.0,0.013513513513513514,4.0,0.054054054054054064,4.0,0.054054054054054064,6.0,0.08108108108108109,2.0,0.027027027027027032,5.0,0.06756756756756757,16.0,0.21621621621621626,11.0,0.14864864864864866,1.0,0.013513513513513514,11.0,0.14864864864864866,0.0,0.0,22.0,0.2972972972972973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.150987782980527,1,1.0,10.122600262408946
4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alaska,1984.0,52.0,5.0,45.0,0.8653846153846154,7.0,0.1346153846153846,23.288461538461537,0.0,47.0,34.634615384615394,2.0,99.0,36.0,0.6923076923076923,9.0,0.17307692307692307,7.0,0.1346153846153846,41.0,0.7884615384615384,11.0,0.21153846153846154,0.0,0.0,0.1346153846153846,0.0,2.0,0.8846153846153846,0.0,6.0,2.0,0.038461538461538464,5.0,0.09615384615384616,3.0,0.0576923076923077,12.0,0.2307692307692308,2.0,0.038461538461538464,3.0,0.0576923076923077,7.0,0.1346153846153846,2.0,0.038461538461538464,3.0,0.0576923076923077,6.0,0.1153846153846154,1.0,0.019230769230769232,6.0,0.1153846153846154,51.0,0.9807692307692308,1.0,0.019230769230769232,52.0,1.0,0.0,0.0,25.0,0.4807692307692308,0.0,0.0,27.0,0.5192307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.21153846153846154,33.0,0.6346153846153846,3.0,0.0576923076923077,5.0,0.09615384615384616,0.0,0.0,52.0,1.0,0.0,0.0,0.0,0.0,7.0,0.1346153846153846,31.0,0.5961538461538461,10.0,0.19230769230769232,4.0,0.07692307692307693,0.0,0.0,52.0,1.0,0.0,0.0,0.0,0.0,8.0,0.15384615384615385,23.0,0.4423076923076923,10.0,0.19230769230769232,4.0,0.07692307692307693,3.0,0.0576923076923077,1.0,0.019230769230769232,3.0,0.0576923076923077,0.0,0.0,5.0,0.09615384615384616,2.0,0.038461538461538464,1.0,0.019230769230769232,11.0,0.21153846153846154,7.0,0.1346153846153846,0.0,0.0,2.0,0.038461538461538464,0.0,0.0,22.0,0.4230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,10.122600262408946,1,1.0,9.389759528258484
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alaska,1985.0,50.0,7.0,36.0,0.72,14.0,0.28,22.22,0.0,68.0,39.54,7.0,76.0,30.0,0.6,6.0,0.12,14.0,0.28,33.0,0.66,17.0,0.34,0.0,0.0,0.08,0.0,1.0,0.16,0.0,2.0,3.0,0.06,3.0,0.06,9.0,0.18,6.0,0.12,6.0,0.12,3.0,0.06,4.0,0.08,4.0,0.08,2.0,0.04,3.0,0.06,3.0,0.06,4.0,0.08,50.0,1.0,0.0,0.0,50.0,1.0,0.0,0.0,26.0,0.52,2.0,0.04,22.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.26,30.0,0.6,6.0,0.12,0.0,0.0,1.0,0.02,40.0,0.8,10.0,0.2,0.0,0.0,11.0,0.22,15.0,0.3,15.0,0.3,7.0,0.14,2.0,0.04,42.0,0.84,8.0,0.16,0.0,0.0,11.0,0.22,24.0,0.48,9.0,0.18,2.0,0.04,2.0,0.04,0.0,0.0,0.0,0.0,2.0,0.04,3.0,0.06,0.0,0.0,4.0,0.08,5.0,0.1,4.0,0.08,0.0,0.0,5.0,0.1,0.0,0.0,27.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,1.0,0.02,0.0,0.0,0.0,0.0,9.389759528258484,1,0.0,8.635451652494726
6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alaska,1986.0,47.0,7.0,38.0,0.8085106382978723,9.0,0.1914893617021277,23.659574468085108,0.0,63.0,30.680851063829788,2.0,79.0,32.0,0.6808510638297872,6.0,0.1276595744680851,9.0,0.1914893617021277,35.0,0.7446808510638298,12.0,0.2553191489361702,0.0,0.0,0.0851063829787234,0.0,2.0,0.1702127659574468,0.0,2.0,6.0,0.1276595744680851,2.0,0.0425531914893617,4.0,0.0851063829787234,5.0,0.10638297872340426,2.0,0.0425531914893617,5.0,0.10638297872340426,9.0,0.1914893617021277,3.0,0.06382978723404255,2.0,0.0425531914893617,2.0,0.0425531914893617,3.0,0.06382978723404255,4.0,0.0851063829787234,46.0,0.9787234042553192,1.0,0.02127659574468085,47.0,1.0,0.0,0.0,25.0,0.5319148936170213,2.0,0.0425531914893617,20.0,0.425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.23404255319148934,32.0,0.6808510638297872,3.0,0.06382978723404255,0.0,0.0,1.0,0.02127659574468085,26.0,0.5531914893617021,21.0,0.44680851063829785,0.0,0.0,8.0,0.1702127659574468,23.0,0.4893617021276596,9.0,0.1914893617021277,5.0,0.10638297872340426,2.0,0.0425531914893617,28.0,0.5957446808510638,19.0,0.40425531914893614,0.0,0.0,22.0,0.4680851063829787,14.0,0.2978723404255319,5.0,0.10638297872340426,1.0,0.02127659574468085,2.0,0.0425531914893617,1.0,0.02127659574468085,2.0,0.0425531914893617,0.0,0.0,1.0,0.02127659574468085,0.0,0.0,2.0,0.0425531914893617,6.0,0.1276595744680851,7.0,0.14893617021276595,1.0,0.02127659574468085,4.0,0.0851063829787234,0.0,0.0,23.0,0.4893617021276596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02127659574468085,2.0,0.0425531914893617,0.0,0.0,0.0,0.0,8.635451652494726,0,1.0,8.900277948263426
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alaska,1987.0,48.0,8.0,38.0,0.7916666666666666,10.0,0.20833333333333331,25.41666666666667,0.0,59.0,33.145833333333336,2.0,99.0,32.0,0.6666666666666666,6.0,0.125,10.0,0.20833333333333331,35.0,0.7291666666666666,13.0,0.2708333333333333,0.0,0.0,0.14583333333333334,0.0,2.0,0.3333333333333333,0.0,2.0,5.0,0.10416666666666667,8.0,0.16666666666666666,3.0,0.0625,8.0,0.16666666666666666,2.0,0.04166666666666666,4.0,0.08333333333333333,3.0,0.0625,4.0,0.08333333333333333,1.0,0.02083333333333333,4.0,0.08333333333333333,3.0,0.0625,3.0,0.0625,46.0,0.9583333333333334,2.0,0.04166666666666666,48.0,1.0,0.0,0.0,22.0,0.4583333333333333,1.0,0.02083333333333333,25.0,0.5208333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.3125,24.0,0.5,4.0,0.08333333333333333,2.0,0.04166666666666666,3.0,0.0625,48.0,1.0,0.0,0.0,0.0,0.0,13.0,0.2708333333333333,17.0,0.3541666666666667,11.0,0.22916666666666666,4.0,0.08333333333333333,3.0,0.0625,48.0,1.0,0.0,0.0,0.0,0.0,19.0,0.3958333333333333,16.0,0.3333333333333333,2.0,0.04166666666666666,5.0,0.10416666666666667,0.0,0.0,3.0,0.0625,1.0,0.02083333333333333,2.0,0.04166666666666666,3.0,0.0625,1.0,0.02083333333333333,2.0,0.04166666666666666,6.0,0.125,8.0,0.16666666666666666,13.0,0.2708333333333333,5.0,0.10416666666666667,0.0,0.0,9.0,0.1875,1.0,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.900277948263426,1,0.0,5.535228964746127
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alaska,1988.0,30.0,4.0,28.0,0.9333333333333332,2.0,0.06666666666666668,29.53333333333333,0.0,71.0,33.1,0.0,73.0,24.0,0.8,4.0,0.13333333333333333,2.0,0.06666666666666668,21.0,0.7,9.0,0.3,0.0,0.0,0.03333333333333333,0.0,1.0,0.0,0.0,0.0,3.0,0.1,0.0,0.0,3.0,0.1,1.0,0.03333333333333333,2.0,0.06666666666666668,2.0,0.06666666666666668,4.0,0.13333333333333333,9.0,0.3,2.0,0.06666666666666668,1.0,0.03333333333333333,2.0,0.06666666666666668,1.0,0.03333333333333333,29.0,0.9666666666666668,1.0,0.03333333333333333,30.0,1.0,0.0,0.0,18.0,0.6,0.0,0.0,12.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.2333333333333333,19.0,0.6333333333333333,1.0,0.03333333333333333,2.0,0.06666666666666668,1.0,0.03333333333333333,30.0,1.0,0.0,0.0,0.0,0.0,9.0,0.3,14.0,0.4666666666666667,4.0,0.13333333333333333,2.0,0.06666666666666668,1.0,0.03333333333333333,30.0,1.0,0.0,0.0,0.0,0.0,11.0,0.36666666666666653,8.0,0.26666666666666666,6.0,0.2,2.0,0.06666666666666668,2.0,0.06666666666666668,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,4.0,0.13333333333333333,0.0,0.0,2.0,0.06666666666666668,4.0,0.13333333333333333,6.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.535228964746127,0,0.0,7.493251504590073
9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alaska,1989.0,41.0,4.0,37.0,0.902439024390244,4.0,0.0975609756097561,25.292682926829272,0.0,48.0,34.8780487804878,1.0,99.0,31.0,0.7560975609756098,6.0,0.14634146341463414,4.0,0.0975609756097561,32.0,0.7804878048780488,9.0,0.2195121951219512,0.0,0.0,0.024390243902439025,0.0,1.0,0.2926829268292683,0.0,2.0,6.0,0.14634146341463414,6.0,0.14634146341463414,0.0,0.0,3.0,0.07317073170731707,2.0,0.04878048780487805,4.0,0.0975609756097561,5.0,0.12195121951219512,8.0,0.1951219512195122,1.0,0.024390243902439025,1.0,0.024390243902439025,1.0,0.024390243902439025,4.0,0.0975609756097561,40.0,0.975609756097561,1.0,0.024390243902439025,41.0,1.0,0.0,0.0,16.0,0.3902439024390244,0.0,0.0,25.0,0.6097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.3902439024390244,18.0,0.4390243902439024,3.0,0.07317073170731707,1.0,0.024390243902439025,3.0,0.07317073170731707,41.0,1.0,0.0,0.0,0.0,0.0,17.0,0.4146341463414634,16.0,0.3902439024390244,4.0,0.0975609756097561,2.0,0.04878048780487805,2.0,0.04878048780487805,41.0,1.0,0.0,0.0,0.0,0.0,15.0,0.36585365853658536,13.0,0.3170731707317073,5.0,0.12195121951219512,4.0,0.0975609756097561,1.0,0.024390243902439025,1.0,0.024390243902439025,0.0,0.0,2.0,0.04878048780487805,1.0,0.024390243902439025,0.0,0.0,1.0,0.024390243902439025,11.0,0.2682926829268293,11.0,0.2682926829268293,2.0,0.04878048780487805,3.0,0.07317073170731707,0.0,0.0,11.0,0.2682926829268293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.024390243902439025,7.493251504590073,0,0.0,6.689326005206827
